month,region,phase_index,HCCF_anom,HCTB_anom,LCSP_anom,Direct_Net_anom_formal,direct_source_verified,metric_source_verified
2021-02-01,CP,-1,-0.0635063439,-0.0100833317,-0.0230885906,-1.3699714511,True,True
2021-03-01,CP,-1,-0.0602515579,0.0103664024,-0.0114303079,-1.0197111347,True,True
2021-04-01,CP,-1,0.0096421487,0.0143824227,0.0095752249,-2.3051638112,True,True
2021-05-01,CP,-1,0.0010993518,0.0021405890,-0.0107850970,-1.2595492828,True,True
2021-06-01,CP,0,-0.0534553964,-0.0037893011,-0.0087855092,0.0773520286,True,True
2021-07-01,CP,0,-0.0261388444,-0.0041393273,-0.0162817858,-0.0929405838,True,True
2021-08-01,CP,-1,-0.0543642356,0.0104741893,-0.0128750035,0.0747342236,True,True
2021-09-01,CP,-1,-0.0551775242,0.0188762719,-0.0281190377,-0.3840846792,True,True
2021-10-01,CP,-1,-0.0563385662,0.0193748138,-0.0322504940,-1.8289430874,True,True
2021-11-01,CP,-1,-0.0673605802,0.0280568849,-0.0355724292,-0.9096052141,True,True
2021-12-01,CP,-1,-0.0338973326,0.0062723442,-0.0116279968,-2.5570483644,True,True
2022-01-01,CP,-1,-0.0562798151,0.0034365559,-0.0173420436,-0.7322077468,True,True
2022-02-01,CP,-1,-0.1199431945,0.0212908822,-0.0483502343,-0.7461920788,True,True
2022-03-01,CP,-1,-0.0977983050,-0.0157921645,-0.0512396489,1.8982856738,True,True
2022-04-01,CP,-1,-0.0788647202,-0.0011598709,-0.0313368121,-0.4963801500,True,True
2022-05-01,CP,-1,-0.0420617571,0.0091047907,-0.0207467508,-0.9320351931,True,True
2022-06-01,CP,-1,-0.0601352853,0.0274490441,-0.0174173881,-0.2411605018,True,True
2022-07-01,CP,-1,-0.0597163247,0.0142983418,-0.0412113577,-1.8512558558,True,True
2022-08-01,CP,-1,-0.0909741648,0.0180976367,-0.0492379772,-1.1744441514,True,True
2022-09-01,CP,-1,-0.0936656009,0.0192128723,-0.0467662179,-1.4106065627,True,True
2022-10-01,CP,-1,-0.0755122509,-0.0018939747,-0.0532905816,-0.1578693064,True,True
2022-11-01,CP,-1,-0.1029156028,0.0256828848,-0.0282375256,-0.5449072384,True,True
2022-12-01,CP,-1,-0.1076855945,0.0001283013,-0.0418118623,-0.1249265868,True,True
2023-01-01,CP,-1,-0.1391956617,0.0263321928,-0.0492520958,-1.4408520114,True,True
2023-02-01,CP,-1,-0.0902704574,-0.0023054836,-0.0326069390,-1.2654632054,True,True
2002-07-01,EP,1,0.0048219762,0.0105953387,0.0065484819,-0.8581874634,True,True
2002-08-01,EP,1,0.0006946817,-0.0030801457,-0.0145242085,-0.7182321393,True,True
2002-09-01,EP,1,0.0111881525,-0.0114714180,0.0148135156,1.9992732794,True,True
2002-10-01,EP,1,0.0278301890,0.0017760032,0.0150694665,0.9514046788,True,True
