region,cloud_type,ctp_bin,tau_bin,physical_group,CF0,Q0_SW,Q0_LW,Q0_Net,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,CRE0_SW_monthlymean,CRE0_LW_monthlymean,CRE0_Net_monthlymean,difference_ratio_minus_monthlymean_Net,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,panels_used,display_value_tp_sw,display_value_tp_lw,display_value_tp_net,display_value_regional_net,baseline_hatch
CP,11,800-680,22.63-60.36,low cloud,0.0001989649134005,-0.0309294872571424,0.0031502379477693,-0.027779249309373,-155.45196752793117,15.833133058124329,-139.6188344698068,-156.68157102100406,15.637307394402535,-141.04426362660155,1.4254291567947348,248,True,True,e,,,,-139.6188344698068,False
CP,12,800-680,60.36-378.65,low cloud,6.200120604450498e-07,-0.0001217803446553,1.0175591686406147e-05,-0.0001116047529689,-196.4160899836908,16.411925405292962,-180.00416457839785,-210.17758084423372,15.259882813305634,-194.9176980309281,14.91353345253026,243,True,True,e,,,,-180.00416457839785,False
CP,13,680-560,0.02-1.27,mid-level cloud,0.0179389563373334,-0.2428206993901237,0.2754108436512377,0.032590144261114,-13.535943497715133,15.352668152609882,1.8167246548947509,-13.47561619534168,15.477245358044325,2.0016291627026432,-0.1849045078078925,248,True,True,e,,,,1.8167246548947509,False
CP,14,680-560,1.27-3.55,mid-level cloud,0.0223258805794041,-0.854353467677049,0.646449616111937,-0.207903851565112,-38.26740292005323,28.955167694854293,-9.312235225198943,-38.38666301757683,29.151902414896327,-9.23476060268051,-0.0774746225184355,248,True,True,e,,,,-9.312235225198943,False
CP,15,680-560,3.55-9.38,mid-level cloud,0.0145985547835982,-1.1105855048841322,0.5084829635189961,-0.602102541365136,-76.07503080591893,34.83104807677854,-41.24398272914038,-76.1182716159248,34.93372285414543,-41.18454876177936,-0.0594339673610164,248,True,True,e,,,,-41.24398272914038,False
CP,16,680-560,9.38-22.63,mid-level cloud,0.004239656451586,-0.5243857553128857,0.1416324146566859,-0.3827533406561997,-123.68590740806708,33.40657816830928,-90.2793292397578,-123.5510333520482,33.40224535145086,-90.1487880005973,-0.130541239160479,248,True,True,e,,,,-90.2793292397578,False
CP,17,680-560,22.63-60.36,mid-level cloud,0.0004665922512077,-0.076646379850723,0.0144714400154068,-0.0621749398353161,-164.26843706112476,31.015174336799177,-133.2532627243256,-164.1222839938091,30.962422383532825,-133.15986161027627,-0.0934011140493282,248,True,True,e,,,,-133.2532627243256,False
CP,18,680-560,60.36-378.65,mid-level cloud,5.236750206830058e-06,-0.0011783559355607,0.0001516915403075,-0.0010266643952531,-225.01663990462285,28.96673209842112,-196.04990780620176,-225.85822247080256,29.32117283835132,-196.53704963245124,0.4871418262494842,248,True,True,e,,,,-196.04990780620176,False
CP,19,560-440,0.02-1.27,mid-level cloud,0.0091018928216518,-0.0894444395905251,0.1786964733350854,0.0892520337445602,-9.827015253107804,19.632891403642656,9.805876150534855,-9.674138382996416,19.5935832240085,9.919444841012083,-0.1135686904772299,248,True,True,e,,,,9.805876150534855,False
CP,20,560-440,1.27-3.55,mid-level cloud,0.0066161080918978,-0.3068429307950727,0.3201694871199432,0.0133265563248706,-46.3781616825205,48.392420842099575,2.0142591595790806,-46.66818511869483,48.53881334388981,1.8706282251949624,0.1436309343841182,248,True,True,e,,,,2.0142591595790806,False
